ema_len,left,right,train_total_return,train_annual_return,train_max_drawdown,train_sharpe,train_trades,train_win_rate,train_avg_trade,test_total_return,test_annual_return,test_max_drawdown,test_sharpe,test_trades,test_win_rate,test_avg_trade,train_sr_position_ic_24h,train_dist_support_atr_ic_24h,train_dist_resistance_atr_ic_24h,train_sr_range_pct_ic_24h,test_sr_position_ic_24h,test_dist_support_atr_ic_24h,test_dist_resistance_atr_ic_24h,test_sr_range_pct_ic_24h,score
14,10,1,1.6900659270930096,0.2808973302337041,-0.26149043104880376,0.9613990420129169,151,0.17880794701986755,0.007636213289018725,0.10340528198102872,0.10347965181818863,-0.25461934898304006,0.48501542955934657,59,0.15254237288135594,0.0022717024988560927,0.030738387748249656,0.001320070761739935,-0.022997077609109774,-0.005831049840039126,-0.04456578616052303,-0.0895935808056108,-0.019762010783412456,-0.04513087763574318,0.00042074880463593284
10,8,1,0.15687917240955684,0.037129142100666535,-0.40384973703371496,0.2580261815247512,190,0.14210526315789473,0.0014714459099106807,0.05935209382673112,0.05939392998274462,-0.1670145195115018,0.354008879010296,56,0.14285714285714285,0.001499249484263324,0.01856701039525348,-0.0006660042594868861,-0.00910290697253544,0.004065391751046253,-0.01798427648096951,-0.0492382688823006,-0.02868226963315262,-0.025665323976411344,-0.006412885822491488
5,12,1,1.2077784689413953,0.21912368814687677,-0.16290891675371066,0.8822244536744466,112,0.21428571428571427,0.008167371690320396,0.05835674486910114,0.05839786026440974,-0.23046074573048747,0.3495708183848636,54,0.14814814814814814,0.001552034211114287,0.011447708286562506,-0.0063611767912778614,-0.009078630018243801,-0.004522253299919307,0.00011317735157694429,-0.018813370369571352,-0.02548525668954132,0.016649957258203906,-0.03935397168159081
5,5,1,1.890499553654855,0.30413382840116965,-0.23232935396059828,0.9943003413548274,280,0.19285714285714287,0.004436575496086224,0.026331781278277955,0.026350052303346416,-0.15380112754744735,0.2230313366412304,83,0.14457831325301204,0.0006681435993328189,0.012658836888323609,-0.018447463921237625,-0.014143721301329345,-0.021167944753456746,-0.018872837470887024,-0.061483492972608474,-0.003398606910430322,-0.03890141639244449,-0.03939894463831574
7,10,1,0.5729395526879415,0.11998367365123053,-0.19495622659830603,0.5761595095938763,139,0.18705035971223022,0.004040100131246144,0.032213622720388635,0.03223603871588199,-0.23046074573048736,0.24502077099965522,67,0.14925373134328357,0.000910639964826301,0.014269003937171574,-0.008535424939454436,-0.009209009821140353,-0.008729920255693129,0.0035224315589244214,0.001959536962402484,-0.02298804882641989,0.03542269474904163,-0.07074329559937893
14,8,1,1.3019806231522377,0.23193393814009378,-0.31890360081264546,0.8079677948637357,187,0.1711229946524064,0.005417998014442153,0.039798373405272924,0.03982616831559005,-0.25937116174985686,0.2703072619422296,76,0.14473684210526316,0.0010135649979377504,0.026417004451721397,-0.014558714385112536,-0.032125060019846975,-0.03435468667758385,-0.03712567734979695,-0.056951610684245084,-0.015360345670919207,-0.015369140053992054,-0.07634404946222689
7,12,1,0.5594258761859872,0.11756868998143921,-0.19495622659830614,0.5695240081701475,129,0.17829457364341086,0.004274247314360494,-0.02706595852376592,-0.027084243506331318,-0.27537237883788956,-0.004467235443792157,57,0.14035087719298245,-1.853548387377227e-05,0.013397635746691684,-0.014014960709383026,-0.01782904360613831,-0.01761477386877064,-0.031297865638018285,-0.07442048347004139,-0.025341430300328663,-0.055207579787273496,-0.1649937946974657
5,15,1,1.3264400015355235,0.23519565092589012,-0.18086559974842709,0.9592447954532551,88,0.2159090909090909,0.010883329223784986,-0.041845922944737324,-0.0418739758954203,-0.29076570330497065,-0.06882855946980503,59,0.13559322033898305,-0.0002762303336110839,0.014585541777735305,-0.004670678604613722,-0.012863977921540672,-0.007179656987897066,-0.03216545557275942,-0.07460331395712752,-0.024309200225790358,-0.05498546713315231,-0.19069825552139588
10,12,1,0.3872813629829832,0.08533918049525546,-0.25487734328075107,0.4311928648988191,155,0.14838709677419354,0.002918908131773841,-0.06610583042317109,-0.06614957668327381,-0.2901579542251691,-0.15725529728692822,59,0.11864406779661017,-0.0006659805521180896,0.018240320376724486,-0.002394766175313442,-0.01824785306286435,-0.001826091331045696,-0.026079880129557875,-0.07474083247782139,-0.032469316424744044,-0.058090843192871375,-0.2190913186602048
10,10,1,0.6906100007989091,0.14038082692488252,-0.25487734328075096,0.610499462984,159,0.16981132075471697,0.004131183774157309,-0.10301099109996259,-0.10307777845815369,-0.29468320785354574,-0.2985518552477021,74,0.12162162162162163,-0.0010450120193787236,0.021966759140279124,-0.007405510319730969,-0.024621997844977046,-0.016953462162556988,-0.024977967848464393,-0.055624674565450956,-0.028680489398161077,-0.03586004032373362,-0.26534697514731165
