ema_fast,ema_slow,trend_threshold,use_macd,volume_filter,funding_z_cap,allow_short,regime_filter,regime_fast,regime_slow,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position,score
12,60,0.01,0,-999.0,2.5,1,1,100,200,3.431515212469927,0.451642367144548,-0.5271994492090206,1.1505252520120794,217,164,53,0.12692371338739036,0.2508356776435545,0.18887969551547246,0.06195598212808208,2.8923241425094006,0.26904195402084974,0.00026147418366108226,0.24556890514064164
20,60,0.0,0,-999.0,2.5,1,1,100,200,3.9128651496140643,0.48960332033305987,-0.61095971087251,1.1492996479817292,244,173,71,0.13281482707264602,0.3110706602680788,0.2219427436703624,0.08912791659771636,4.682439905096087,-0.0232190764786675,0.00023093585501832454,0.24158844729589132
12,96,0.0,0,-999.0,2.5,1,1,100,200,3.789888617628531,0.4801798967785429,-0.6015763400607708,1.1234208741165403,250,181,69,0.14218103590931658,0.33116001985768656,0.23667052788350157,0.094489491974185,4.442096983527802,-0.0026225980015900374,0.00021649937081565337,0.23556277045398452
20,200,0.0,0,-999.0,999.0,1,1,100,200,4.273880217396243,0.5162822107988014,-0.673211285819231,1.105456600862435,95,66,29,0.18696011914611949,0.4245242429256992,0.30574218103590933,0.11878206188978983,5.416786405410557,-0.13811995570292768,0.00018088045265690983,0.2349493979323077
30,60,0.01,0,-999.0,999.0,1,1,100,200,3.4688328878565207,0.4546930048639044,-0.5499674197402907,1.1014885652506996,102,75,27,0.14376965083567764,0.2835015720668542,0.21363561145126592,0.06986596061558828,3.413975036603353,0.06541498182024807,0.00023411573403980294,0.234783723256294
30,60,0.0,0,-999.0,2.5,1,1,100,200,3.6378683195642525,0.46827684888326915,-0.5838964977761019,1.1122443173516898,229,166,63,0.13516465331788846,0.31871586960119147,0.22694026145953997,0.09177560814165149,4.364367890933204,-0.030519644410886948,0.0002194131108512868,0.2319408158628027
30,200,0.0,0,-999.0,2.5,1,1,100,200,4.1129721196679165,0.504565914806649,-0.6573762287825842,1.109839626021206,200,145,55,0.1765679298361741,0.4108886314744332,0.29372828065530365,0.11716035081912957,5.220523111671238,-0.0915797101432847,0.00018493913405220452,0.23136978171641726
30,200,0.01,0,-999.0,999.0,1,1,100,200,3.555764731405012,0.4617261326162152,-0.5668477940458105,1.0599783879816653,59,44,15,0.1780572563296376,0.3556511666390865,0.26685421148436206,0.08879695515472448,3.384780753571736,0.07010968978179855,0.0001955206108785394,0.2313011549923932
12,200,0.01,0,-999.0,999.0,1,1,100,200,3.4453789558763646,0.45277793789476317,-0.5528307878298867,1.059656942090869,79,61,18,0.1710077775939103,0.3414529207347344,0.25623034916432236,0.08522257157041205,3.0776774045777815,0.13410913006443437,0.00019963516761642306,0.22934539108436328
20,200,0.01,0,-999.0,999.0,1,1,100,200,3.4759717168082043,0.4552744105346376,-0.5652043065664989,1.0560546555418617,70,53,17,0.1746814496111203,0.34797286116167464,0.2613271553863975,0.08664570577527718,3.4682288712273195,0.03742338027890102,0.00019759186937206959,0.2254749900284812
20,60,0.005,0,-999.0,999.0,1,1,100,200,3.8468804337757208,0.48456933245496825,-0.6340094267787765,1.1441409050304134,130,89,41,0.14237961277511169,0.3069998345192785,0.2246897236471951,0.0823101108720834,4.389693855531527,-0.04030239680673309,0.00022693039695591326,0.2247716643171007
