ema_fast,ema_slow,atr_stop,volume_filter,total_return,annual_return,max_drawdown,sharpe,trades,exposure,avg_bar_return_when_in_position,score
12,60,2.5,0.0,-0.32865044044704816,-0.07665067506634005,-0.621996605196002,-0.2819004960235454,1054,0.05437659729828404,0.0017421082163433486,-0.3961059925450474
12,60,3.0,0.0,-0.32865044044704816,-0.07665067506634005,-0.621996605196002,-0.2819004960235454,1054,0.05437659729828404,0.0017421082163433486,-0.3961059925450474
12,60,1.5,0.0,-0.32865044044704816,-0.07665067506634005,-0.621996605196002,-0.2819004960235454,1054,0.05437659729828404,0.0017421082163433486,-0.3961059925450474
20,48,3.0,0.0,-0.3616152289590149,-0.08590822198438453,-0.6152609654748606,-0.3380555246987865,1002,0.05200346841913107,0.0018197824528009138,-0.40368037046277844
20,48,2.5,0.0,-0.3616152289590149,-0.08590822198438453,-0.6152609654748606,-0.3380555246987865,1002,0.05200346841913107,0.0018197824528009138,-0.40368037046277844
20,48,2.0,0.0,-0.3616152289590149,-0.08590822198438453,-0.6152609654748606,-0.3380555246987865,1002,0.05200346841913107,0.0018197824528009138,-0.40368037046277844
20,48,1.5,0.0,-0.3616152289590149,-0.08590822198438453,-0.6152609654748606,-0.3380555246987865,1002,0.05200346841913107,0.0018197824528009138,-0.40368037046277844
12,48,2.5,0.0,-0.368374242812176,-0.08785342424964981,-0.6326906377413535,-0.3394673788135016,1045,0.05437659729828404,0.0017428361517613962,-0.4143827644847316
12,48,2.0,0.0,-0.368374242812176,-0.08785342424964981,-0.6326906377413535,-0.3394673788135016,1045,0.05437659729828404,0.0017428361517613962,-0.4143827644847316
12,48,3.0,0.0,-0.368374242812176,-0.08785342424964981,-0.6326906377413535,-0.3394673788135016,1045,0.05437659729828404,0.0017428361517613962,-0.4143827644847316
12,48,1.5,0.0,-0.368374242812176,-0.08785342424964981,-0.6326906377413535,-0.3394673788135016,1045,0.05437659729828404,0.0017428361517613962,-0.4143827644847316
20,60,1.5,-0.2,-0.3631331392233008,-0.08634362768977166,-0.6511156827136385,-0.26976795540444576,1076,0.07217506389193136,0.001309911966697759,-0.41999450770872426
20,60,2.0,-0.2,-0.3631331392233008,-0.08634362768977166,-0.6511156827136385,-0.26976795540444576,1076,0.07217506389193136,0.001309911966697759,-0.41999450770872426
20,60,3.0,-0.2,-0.3631331392233008,-0.08634362768977166,-0.6511156827136385,-0.26976795540444576,1076,0.07217506389193136,0.001309911966697759,-0.41999450770872426
20,60,2.5,-0.2,-0.3631331392233008,-0.08634362768977166,-0.6511156827136385,-0.26976795540444576,1076,0.07217506389193136,0.001309911966697759,-0.41999450770872426
30,48,2.0,-0.2,-0.367639333833894,-0.08764111754290071,-0.6507445830204341,-0.27924214320149,1048,0.07055494706097115,0.0013362787124342904,-0.42139067334916247
30,48,2.5,-0.2,-0.367639333833894,-0.08764111754290071,-0.6507445830204341,-0.27924214320149,1048,0.07055494706097115,0.0013362787124342904,-0.42139067334916247
30,48,3.0,-0.2,-0.367639333833894,-0.08764111754290071,-0.6507445830204341,-0.27924214320149,1048,0.07055494706097115,0.0013362787124342904,-0.42139067334916247
30,48,1.5,-0.2,-0.367639333833894,-0.08764111754290071,-0.6507445830204341,-0.27924214320149,1048,0.07055494706097115,0.0013362787124342904,-0.42139067334916247
30,60,2.5,0.2,-0.44210471727562606,-0.11023397397935686,-0.6030065663999558,-0.5466398264567447,868,0.03872307411464038,0.002439779103029111,-0.42813645197303707
30,60,3.0,0.2,-0.44210471727562606,-0.11023397397935686,-0.6030065663999558,-0.5466398264567447,868,0.03872307411464038,0.002439779103029111,-0.42813645197303707
30,60,1.5,0.2,-0.44210471727562606,-0.11023397397935686,-0.6030065663999558,-0.5466398264567447,868,0.03872307411464038,0.002439779103029111,-0.42813645197303707
30,60,2.0,0.2,-0.44210471727562606,-0.11023397397935686,-0.6030065663999558,-0.5466398264567447,868,0.03872307411464038,0.002439779103029111,-0.42813645197303707
30,60,1.5,-0.2,-0.4180507461861579,-0.10268523160900433,-0.6401009941676032,-0.35171750811363556,1067,0.07160460021905805,0.001311474255528519,-0.43328725393621503
30,60,3.0,-0.2,-0.4180507461861579,-0.10268523160900433,-0.6401009941676032,-0.35171750811363556,1067,0.07160460021905805,0.001311474255528519,-0.43328725393621503
30,60,2.0,-0.2,-0.4180507461861579,-0.10268523160900433,-0.6401009941676032,-0.35171750811363556,1067,0.07160460021905805,0.001311474255528519,-0.43328725393621503
30,60,2.5,-0.2,-0.4180507461861579,-0.10268523160900433,-0.6401009941676032,-0.35171750811363556,1067,0.07160460021905805,0.001311474255528519,-0.43328725393621503
12,60,2.0,0.2,-0.44006438595819,-0.10958366927217866,-0.6199028436044509,-0.5332016188860913,901,0.040251916757940855,0.0023553959216366304,-0.4355311396409869
12,60,3.0,0.2,-0.44006438595819,-0.10958366927217866,-0.6199028436044509,-0.5332016188860913,901,0.040251916757940855,0.0023553959216366304,-0.4355311396409869
12,60,2.5,0.2,-0.44006438595819,-0.10958366927217866,-0.6199028436044509,-0.5332016188860913,901,0.040251916757940855,0.0023553959216366304,-0.4355311396409869
12,60,1.5,0.2,-0.44006438595819,-0.10958366927217866,-0.6199028436044509,-0.5332016188860913,901,0.040251916757940855,0.0023553959216366304,-0.4355311396409869
20,60,1.5,0.2,-0.44277470057818547,-0.1104479293286984,-0.6221585543337117,-0.5466994120601186,872,0.039042533771449436,0.0024216918723351565,-0.4379281888573578
20,60,3.0,0.2,-0.44277470057818547,-0.1104479293286984,-0.6221585543337117,-0.5466994120601186,872,0.039042533771449436,0.0024216918723351565,-0.4379281888573578
20,60,2.5,0.2,-0.44277470057818547,-0.1104479293286984,-0.6221585543337117,-0.5466994120601186,872,0.039042533771449436,0.0024216918723351565,-0.4379281888573578
20,60,2.0,0.2,-0.44277470057818547,-0.1104479293286984,-0.6221585543337117,-0.5466994120601186,872,0.039042533771449436,0.0024216918723351565,-0.4379281888573578
12,48,2.0,0.2,-0.465332501308394,-0.11777469975223631,-0.6280668421796803,-0.5808643986542399,900,0.040366009492515516,0.002342105953381036,-0.4492340528017037
12,48,2.5,0.2,-0.465332501308394,-0.11777469975223631,-0.6280668421796803,-0.5808643986542399,900,0.040366009492515516,0.002342105953381036,-0.4492340528017037
12,48,3.0,0.2,-0.465332501308394,-0.11777469975223631,-0.6280668421796803,-0.5808643986542399,900,0.040366009492515516,0.002342105953381036,-0.4492340528017037
12,48,1.5,0.2,-0.465332501308394,-0.11777469975223631,-0.6280668421796803,-0.5808643986542399,900,0.040366009492515516,0.002342105953381036,-0.4492340528017037
